0,cartodb_id,pre,longitude,latitude
0101000020E6100000BC2620FDE1FC52C05D414769BECD4340,317,124,-75.95129326,39.60737339
0101000020E6100000FD3A896B69FC52C0CEFC6A0E10CE4340,319,124,-75.94393433,39.609865
0101000020E61000000723F609A0FC52C0B3EC496073CE4340,1643,124,-75.947268,39.612896
0101000020E6100000811E513ED0FC52C0E15E99B7EACD4340,1657,124,-75.95021017,39.6087255
0101000020E61000005E60FB6E9FFC52C0A63B15915DCE4340,1659,124,-75.94723105,39.61223043
0101000020E61000007090F747ABFC52C069F2FF70F8CD4340,1660,124,-75.94795417,39.60914433
0101000020E61000002619390B7B3253C058EE1E03263C4340,1650,123,-76.78876,38.46991004
0101000020E61000002619390B7B3253C058EE1E03263C4340,1651,123,-76.78876,38.46991004
0101000020E61000002619390B7B3253C058EE1E03263C4340,1652,123,-76.78876,38.46991004
0101000020E61000002619390B7B3253C058EE1E03263C4340,1653,123,-76.78876,38.46991004
0101000020E61000002619390B7B3253C058EE1E03263C4340,1654,123,-76.78876,38.46991004
0101000020E61000002619390B7B3253C058EE1E03263C4340,1655,123,-76.78876,38.46991004
0101000020E61000002619390B7B3253C058EE1E03263C4340,1656,123,-76.78876,38.46991004
0101000020E610000021723C97D04453C0C9501DC4B1884340,1431,122,-77.07523137,39.06792499
0101000020E61000001CD80142B14453C034577A2B1A884340,1457,122,-77.07331896,39.06329864
0101000020E61000009E5D0012B44453C0C1B314FB11884340,1485,122,-77.07349062,39.06304873
0101000020E610000048F584C2B34453C0609335EA21884340,1581,122,-77.07347167,39.063535
0101000020E6100000761A69A9BC4453C0B5D517CF41884340,1632,122,-77.074015,39.06450833
0101000020E610000044696FF0854153C0381092054C844340,1552,121,-77.0238,39.03357
0101000020E6100000B619C0BE8A4153C0111956F146844340,1553,121,-77.02409333,39.033415
0101000020E6100000008C67D0D04153C03BD421FD97844340,1567,121,-77.02837,39.03588833
0101000020E61000009FC23A23844153C0631E01F549844340,1582,121,-77.02369004,39.03350699
0101000020E6100000DBF97E6ABC4153C01B3C7E35A8844340,1615,121,-77.027125,39.03638333
0101000020E610000028E5FF9F144753C036D71F178B804340,1444,120,-77.11063385,39.0042447
0101000020E61000001C906BE05A4753C0E8B1989E51814340,1509,120,-77.11492167,39.01030333
0101000020E61000000C3CF71E2E4753C04D20BADAE9804340,1551,120,-77.11219,39.00713667
0101000020E6100000070421F6554753C0657094BC3A814340,1571,120,-77.11462167,39.009605
0101000020E610000031CEDF84424753C0EC4173631B814340,1579,120,-77.113435,39.00864833
0101000020E61000006D8FFF7E084753C076AEA4EC5F804340,1601,120,-77.10989356,39.00292738
0101000020E6100000B3E6AEC2794553C037E0F3C3087B4340,1452,119,-77.08555667,38.961205
0101000020E6100000EF7211DF894553C073E24082417B4340,1486,119,-77.08654,38.96293667
0101000020E61000001F37150C9B4553C0444C89247A7B4340,1598,119,-77.08758833,38.964665
0101000020E61000000BF0BCD8A44553C08E799938A47B4340,1603,119,-77.08818644,38.96594913
0101000020E61000003F5EFEF9AC4553C0C4897D3CD37B4340,1611,119,-77.08868265,38.96738392
